index,game_title,game_size_gb,game_price_pln
651,"Back to the Garden, Flower Power Comes Full Circle",147.3,13.33
652,Inside Llewyn Davis,110.0,61.28
653,Bonnie and Clyde,160.3,385.91
654,Liquid Sky,64.6,191.66
655,Appleseed (Appurushîdo),187.9,10.82
656,The Last Diamond,247.8,156.13
657,"Flamingo Kid, The",65.8,180.97
658,"Story of Seabiscuit, The",242.3,391.31
659,Marilyn in Manhattan,140.2,67.93
660,American Bandits: Frank and Jesse James,149.7,78.17
661,Saving Lincoln,244.1,117.79
662,The Conrad Boys,126.9,18.51
663,Public Speaking,195.8,238.05
664,Bananas,88.4,30.74
665,Haxan: Witchcraft Through the Ages (a.k.a. The Witches),111.7,250.05
666,Choose,160.8,320.25
667,In the Folds of the Flesh,77.6,228.85
668,My Awkward Sexual Adventure,159.2,249.28
669,Cake,68.3,320.97
670,"Return of the Magnificent Seven, The (a.k.a. Return of the Seven)",73.6,248.46
671,Hercules in New York,222.5,274.8
672,"Wild and Wonderful Whites of West Virginia, The",41.3,118.08
673,Life Back Then (Antoki no inochi),113.3,305.53
674,Lost Highway,227.3,312.38
675,What? (Che?),36.0,275.92
676,Vice Versa,103.5,255.82
677,Resurrection Man,248.4,96.81
678,"Times of Harvey Milk, The",43.8,273.56
679,One Missed Call,188.5,190.61
680,"Windmill Movie, The",11.4,274.88
681,Safrana or Freedom of Speech (Safrana ou le droit à la parole),149.7,162.07
682,Dylan Moran: Monster,24.7,77.04
683,"Marsh, The",102.9,343.11
684,Skyfall,127.1,326.45
685,Super 8,224.1,19.5
686,Broken Lance,69.6,201.02
687,Dead Men Walk,70.9,12.58
688,"Enforcer, The",85.3,298.93
689,King's Game (Kongekabale),204.3,304.32
690,Narc,232.5,68.7
691,"Eiger Sanction, The",110.5,210.88
692,Tyler Perry's Madea's Witness Protection,206.1,241.35
693,Down to the Cellar (Do pivnice),163.2,290.3
694,Infestation,19.4,253.04
695,"Rum Diary, The",168.2,142.29
696,Abbott and Costello Meet Frankenstein,184.2,117.51
697,"Fifth Commandment, The",28.4,323.38
698,"Turtle's Tale: Sammy's Adventures, A",29.4,248.07
699,Galaxy Express 999 (Ginga tetsudô Three-Nine),146.8,334.16
700,"Fiancee, The (Parineeta)",220.9,63.78
701,"Trip to Italy, The",76.9,136.5
702,"Magdalene Sisters, The",40.6,209.15
703,Facing the Truth (At kende sandheden),209.7,288.69
704,Car Wash,219.3,182.99
705,"Island at the Top of the World, The",38.6,200.83
706,"Adventures of Mark Twain, The",96.9,341.9
707,"Bridges at Toko-Ri, The",242.2,327.43
708,Felicia's Journey,192.5,81.52
709,Creature Comforts,14.3,58.49
710,"Day the Earth Caught Fire, The",133.8,26.13
711,The Indifferent Beauty,171.7,201.52
712,Jönssonligan - Den perfekta stöten,152.6,51.09
713,A-Haunting We Will Go,180.2,158.12
714,"Love Song for Bobby Long, A",55.3,254.69
715,"Legend of the Lone Ranger, The",160.8,129.5
716,Jacob's Ladder,103.8,41.72
717,"Tramp, The (Awaara) (Awara)",30.8,213.66
718,California Conquest,50.1,110.34
719,"Lion King, The",29.5,30.85
720,"Price Above Rubies, A",184.9,184.52
721,"Passion of Ayn Rand, The",216.5,89.97
722,Broadcast News,96.7,257.37
723,"Fugitive, The",75.8,310.25
724,"Sea Is Watching, The (Umi wa miteita)",155.6,69.63
725,American Splendor,72.1,90.74
726,"Mozart's Sister (Nannerl, la soeur de Mozart)",138.2,113.37
727,Hollidaysburg,216.9,243.07
728,Crimes of Fashion,113.0,66.84
729,Lee Daniels' The Butler,246.4,137.96
730,Lady Vengeance (Sympathy for Lady Vengeance) (Chinjeolhan geumjassi),222.1,340.78
731,Curtis's Charm,166.0,287.31
732,Lady Windermere's Fan,147.9,270.23
733,Fuzz,173.2,217.09
734,Kalifornia,175.3,207.32
735,"Hello, Friend",131.7,287.03
736,"Brothers O'Toole, The",235.6,62.35
737,"Way Ahead, The (a.k.a. The Immortal Battalion)",108.1,136.42
738,"Amityville Curse, The",105.6,398.44
739,Waste Land,60.7,337.11
740,Ben-Hur,208.3,302.81
741,Alucarda,102.1,106.89
742,Scarecrows,172.7,233.25
743,Yves Saint Laurent,225.0,352.61
744,Flirtation Walk,153.5,301.2
745,Anne of the Thousand Days,92.4,273.41
746,RV,227.7,243.61
747,Beyond the Mat,183.1,288.46
748,"Turin Horse, The (A Torinói ló)",236.0,161.54
749,Bulworth,155.4,67.59
750,South Central,89.3,165.16
751,Koran by Heart,153.0,173.35
752,Alvarez Kelly,205.2,155.29
753,Stiff Upper Lips,133.8,346.19
754,"Tall Target, The",118.4,107.7
755,"Mating Season, The",213.1,270.94
756,Shadow Kill,102.5,285.09
757,Cyrus,64.5,134.06
758,Hand in Hand,170.2,312.91
759,"Letter, The",210.5,61.28
760,Casablanca,229.8,274.28
761,Pathology,156.9,355.87
762,Beauty and the Beast (Beauty and the Beasts: A Dark Tale),81.4,289.02
763,Mulan,114.7,251.33
764,Carancho,63.6,160.94
765,Do the Right Thing,171.1,126.53
766,Camille,119.0,22.35
767,Coven,62.7,158.92
768,Black Sheep (Schwarze Schafe),156.8,179.23
769,Wild Horses (Caballos salvajes),215.1,340.48
770,Kicking and Screaming,156.9,172.72
771,Carnosaur 3: Primal Species,40.0,166.01
772,All Together,164.4,216.09
773,7 Men from Now (Seven Men from Now),77.6,111.87
774,Forget Baghdad: Jews and Arabs - The Iraqi Connection,232.8,392.93
775,Dadetown,132.7,39.58
776,Pulling John,33.2,119.7
777,My Wife Is a Gangster 2 (Jopog manura 2: Dolaon jeonseol),100.6,21.91
778,Smitty,156.5,337.46
779,Conan O'Brien Can't Stop,35.6,66.38
780,House of Dracula,89.2,234.9
781,Knightriders,186.2,68.73
782,Conspirators of Pleasure (Spiklenci slasti),93.4,386.68
783,"Orphanage, The (Orfanato, El)",78.7,244.8
784,Woman in Love (Rubbeldiekatz),159.4,40.49
785,Human Nature,139.6,342.84
786,Aqua Teen Hunger Force Colon Movie Film for Theaters,245.0,18.9
787,"Vida precoz y breve de Sabina Rivas, La (Precocious and Brief Life of Sabina Rivas, The)",209.5,145.29
788,1987,18.1,201.68
789,From Beyond,23.7,264.58
790,Critters 4,21.2,37.56
791,A Chinese in a Coma,78.5,274.9
792,The Sign of Four: Sherlock Holmes' Greatest Case,131.8,121.62
793,"Cat and the Canary, The",38.3,356.86
794,Chungking Express (Chung Hing sam lam),247.5,175.37
795,Neds,174.6,245.31
796,"Last House on the Left, The",133.7,202.61
797,Belizaire the Cajun,156.4,97.39
798,In Fear,143.8,169.6
799,Cheerleader Massacre,156.1,328.01
800,Ringu 0: Bâsudei,58.2,273.18
801,Welcome to L.A.,217.7,392.46
802,At the River I Stand,15.2,375.77
803,Dracula A.D. 1972,49.7,82.17
804,The Butterfly Effect 3: Revelations,77.3,343.46
805,Mr Hublot,237.7,286.46
806,Police,191.7,394.94
807,The Student,52.2,114.01
808,"Reality of Love, The (I Want to Marry Ryan Banks)",162.6,154.6
809,Invisible Waves,247.7,244.59
810,"Birth of a Nation, The",203.0,241.98
811,Home Before Dark,136.7,383.2
812,Sagebrush Trail,86.1,84.76
813,Step Up Love Story (Futari ecchi),123.6,229.62
814,"Great Escape, The",80.1,273.96
815,Love the Beast,25.8,191.27
816,Fatal Attraction,13.4,320.87
817,Hands Across the Table,118.6,266.96
818,Send Me No Flowers,131.9,242.31
819,It's Alive III: Island of the Alive,85.8,32.22
820,Lagaan: Once Upon a Time in India,41.2,278.41
821,Warriors (Guerreros),137.6,179.53
822,Hunting Elephants,63.6,399.01
823,Panic,201.1,306.88
824,Vinyl,172.3,44.82
825,Killer McCoy,14.3,397.8
826,When a Woman Ascends the Stairs (Onna ga kaidan wo agaru toki),169.0,174.78
827,Ransom (a.k.a. The Terrorists),182.7,342.24
828,"Matchmaker, The",22.2,243.87
829,Jealousy,215.7,245.02
830,The Sinners of Hell,147.1,58.3
831,Going in Style,51.2,360.84
832,Deal of the Century,44.5,313.7
833,Freedomland,82.7,298.42
834,Blood Diamond,183.8,244.51
835,State and Main,123.7,20.44
836,9500 Liberty,161.9,310.81
837,Regarding Henry,115.3,288.49
838,"Silent Night, Deadly Night III: Better Watch Out!",231.3,164.4
839,Catch That Kid,185.4,38.89
840,Empire of Passion (a.k.a. In the Realm of Passion) (a.k.a. Phantom Love) (Ai No Borei),227.9,107.14
841,Drained (O cheiro do Ralo),235.6,53.6
842,Appointment with Danger,112.0,20.36
843,"Steel Trap, The",134.8,369.65
844,Kings of Pastry (Les rois de la pâtisserie),142.8,321.01
845,"House of the Devil, The",72.2,43.58
846,Blind Pig Who Wants to Fly (Babi buta yang ingin terbang),73.3,336.17
847,Two Much,27.3,333.41
848,Ice Princess,195.5,317.95
849,"Spanish Main, The",105.2,238.94
850,"Lawless Heart, The",184.2,209.9
851,Green Lantern: First Flight,146.6,243.09
852,Cherish,192.0,22.19
853,"Battered Bastards of Baseball, The",172.6,346.81
854,Another Cinderella Story,175.4,297.6
855,"Only Son, The (Hitori musuko)",42.6,170.24
856,Bushwhacked,156.8,146.38
857,Once Upon a Time in Shanghai,243.9,221.77
858,Medora,92.1,104.13
859,"Dictator, The",37.5,379.71
860,"Horseman, The",245.8,243.06
861,Kumail Nanjiani: Beta Male ,245.9,274.97
862,"Lucía, Lucía (Hija del caníbal, La)",231.0,261.78
863,Yertle the Turtle and Other Stories,15.3,41.0
864,"Bird with the Crystal Plumage, The (Uccello dalle piume di cristallo, L')",139.0,357.59
865,Monsieur Verdoux,236.3,346.01
866,Lifeguard,20.5,217.11
867,Billy's Holiday,95.6,148.78
868,Mendy: A Question of Faith,244.6,260.72
869,Andy Hardy's Blonde Trouble,21.0,397.31
870,Snow Dogs,89.4,22.85
871,Dil Se,118.0,168.83
872,Sex and Breakfast,113.0,330.21
873,Lebanon,228.2,277.96
874,Cube Zero,51.9,111.19
875,Dot the I,196.8,385.06
876,One Chance,119.3,236.42
877,Mike's New Car,233.6,192.21
878,"Pumpkin Eater, The",50.6,379.46
879,"Fool There Was, A",57.4,206.54
880,Unconditional Love,227.5,262.25
881,Resurrecting the Champ,151.8,33.78
882,"Cuckoo, The (Kukushka)",71.7,117.01
883,Smilin' Through,243.8,177.48
884,Out of Mind: The Stories of H.P. Lovecraft,79.5,129.36
885,Traitor,215.0,135.89
886,Support Your Local Gunfighter,149.3,389.26
887,Room in Rome (Habitación en Roma),202.4,244.63
888,Guter Junge,204.9,84.99
889,Juarez,29.7,163.58
890,Hairspray,22.7,89.46
891,"Chosen, The",126.7,266.86
892,Before Your Eyes (Min Dit: The Children of Diyarbakir),220.0,172.01
893,"Inn in Tokyo, An (Tôkyô no yado)",223.3,103.44
894,Citizen Kane,59.0,35.37
895,Barbarella,220.8,385.95
896,Machine Gun Kelly,177.9,354.72
897,Man Push Cart,95.3,14.66
898,"Hijacking, A (Kapringen)",129.6,26.9
899,Go for It,40.0,379.22
900,"Last Witness, The",12.1,126.23
901,Cocaine Cowboys,90.4,106.88
902,Son of God,241.0,136.91
903,Worth Winning,198.2,371.76
904,Black Dog,160.7,161.05
905,"Sumo Do, Sumo Don't (Shiko funjatta)",96.2,118.11
906,"Cuckoo, The (Kukushka)",149.9,374.97
907,Morning Glory,146.7,130.56
908,Dr. Akagi (Kanzo sensei),73.7,274.41
909,War Witch (Rebelle),173.2,263.57
910,Police Academy: Mission to Moscow,213.5,91.34
911,Saint (Sint),164.1,307.63
912,Entity,52.3,68.4
913,Die Fischerin,137.6,230.88
914,I Know Where I'm Going!,31.4,136.35
915,"Sword and the Sorcerer, The",95.3,298.45
916,"Champ, The",201.3,15.84
917,"Greatest, The",208.9,68.39
918,"Ghost Goes West, The",23.5,309.05
919,Mesrine: Killer Instinct (L'instinct de mort),167.0,43.41
920,"Bikini Carwash Company, The",151.2,176.28
921,Welcome to New York,161.3,27.51
922,Undisputed,16.7,202.76
923,Police,159.8,347.15
924,"Ox-Bow Incident, The",38.8,259.09
925,Bill & Ted's Excellent Adventure,127.5,63.3
926,"Play It Again, Sam",115.3,118.32
927,W.R.: Mysteries of the Organism,170.1,302.69
928,"Steamboat Bill, Jr.",174.0,87.08
929,Smilin' Through,159.7,69.87
930,Butterfly on a Wheel (Shattered),150.5,41.9
931,Rio Bravo,242.3,345.51
932,Yo Yo (Yoyo),97.9,219.4
933,Spring Break Shark Attack,21.4,264.1
934,Star Trek: Insurrection,101.1,388.75
935,Motocrossed,60.4,168.3
936,Dadetown,198.3,262.17
937,Mammy,198.4,372.64
938,Birth of the Living Dead,197.4,339.71
939,Return with Honor,180.9,339.35
940,"See You in Hell, My Darling (Tha se do stin Kolasi, agapi mou)",150.7,373.88
941,Randy and the Mob,122.8,218.23
942,Koi... Mil Gaya,34.7,231.67
943,"Candidate, The (Kandidaten)",27.3,82.3
944,The Plague of the Zombies,216.0,70.49
945,Boris and Natasha,51.5,144.05
946,Sleep with Me,152.0,250.91
947,Less Than Zero,194.6,281.61
948,The Seven-Ups,190.9,147.1
949,Top Hat,182.6,216.84
950,Ju-on: The Curse 2,27.1,242.02
951,"Fog, The",246.6,322.06
952,Common,120.4,394.06
953,Vincent,105.4,140.61
954,Fidel,177.6,300.57
955,"Bride Comes Home, The",142.5,31.34
956,"Sword of Doom, The (Dai-bosatsu tôge)",235.7,225.66
957,Shinobi: Heart Under Blade,33.4,154.75
958,Caliber 9,167.4,217.96
959,Three Resurrected Drunkards (Kaette kita yopparai),160.3,194.78
960,Skies Above the Landscape (Nebo iznad krajolika),142.3,168.18
961,Immortals,197.8,113.34
962,Marie from the Bay of Angels (Marie Baie Des Anges),151.8,129.56
963,Home of the Brave,206.7,221.42
964,Jonestown: Paradise Lost,49.4,361.02
965,Ghost Town,55.7,153.16
966,"Apartment, The",158.8,395.57
967,"Fighting Seabees, The",212.4,103.21
968,Recount,125.2,326.24
969,Deceived,15.3,310.17
970,"King - Jari Litmanen, The (Kuningas Litmanen)",217.1,279.74
971,Reap the Wild Wind,192.9,36.33
972,Saturday Night Fever,70.1,78.17
973,Something Real and Good,246.9,281.84
974,Cinderella,192.8,340.64
975,Gemini (Sôseiji),63.5,25.55
976,ComDads (les Compères),27.3,274.37
977,"Machinist, The (Maquinista, El)",225.1,335.28
978,Waiting to Exhale,172.0,157.14
979,Highlander II: The Quickening,55.1,316.61
980,Skinwalkers,69.5,216.36
981,A Man Called Magnum,204.0,147.68
982,Wicked Blood,133.0,274.46
983,V: The Final Battle,48.8,379.79
984,"Sign of Four, The",169.0,159.69
985,Nocturno 29,226.4,337.23
986,"Shunning, The",68.6,120.65
987,"Reluctant Fundamentalist, The",128.6,375.92
988,"Girl with the Dragon Tattoo, The (Män som hatar kvinnor)",26.0,378.37
989,"Catechism Cataclysm, The",122.6,42.08
990,Miss Violence,83.4,384.44
991,Helvetica,60.7,325.27
992,Pulling Strings,110.4,56.61
993,"Last Kiss, The",217.1,127.49
994,Hot Saturday,126.1,393.98
995,"Diamond Arm, The (Brilliantovaya ruka)",34.4,123.19
996,One Crazy Summer,96.1,96.54
997,Seven Years Bad Luck,173.5,192.65
998,Death in Brunswick,200.6,255.41
999,King Lines,142.8,385.97
1000,Lucky 7,12.5,97.52
