game_title,game_size_gb,game_price_pln
Two Thousand Maniacs!,143.4,306.81
Homefront,68.2,177.53
"Race for Your Life, Charlie Brown",231.6,356.93
Europa Report,173.1,290.2
Ricky,69.8,53.42
"House with Laughing Windows, The (Casa dalle finestre che ridono, La)",224.6,173.1
Hector and the Search for Happiness,181.7,365.55
Thor: The Dark World,231.9,65.53
Painted Lady,48.5,314.71
Operation Homecoming: Writing the Wartime Experience,128.2,213.59
Idlewild,158.1,253.27
Run for Cover,134.6,206.41
Shark Tale,43.4,367.59
"Golden Compass, The",39.6,251.29
Teacher's Pet,34.5,103.82
Serial Killer Culture,93.7,218.97
DEFCON: The Documentary,165.3,290.1
Deep Red (Profondo rosso),188.3,88.52
Cave of Forgotten Dreams,106.0,216.83
"Wise Kids, The",195.5,150.88
"Great Beauty, The (Grande Bellezza, La)",221.1,221.69
Tales from the Gimli Hospital,136.1,203.72
"Caveman's Valentine, The",198.7,187.89
Dragon Gate Inn (Dragon Inn) (Long men kezhan),176.7,161.13
Alps (Alpeis),89.6,85.19
Hi Diddle Diddle,233.7,91.71
Unexpected,248.6,136.7
Purple Butterfly (Zi hudie),178.0,397.81
"Count Yorga, Vampire",233.1,155.44
"Hangover Part II, The",223.0,266.81
Scream 2,12.3,258.67
Precious Find,77.9,295.84
"Love, Honour and Obey",52.2,108.88
"Date with Judy, A",182.1,36.46
Devour,14.4,331.64
Long John Silver,144.3,218.07
"God Who Wasn't There, The",122.4,63.05
"36th Chamber of Shaolin, The (Shao Lin san shi liu fang) (Master Killer)",64.1,45.85
"Big Stampede, The",128.1,396.99
"Sun Shines Bright, The",246.8,91.0
"Private Affairs of Bel Ami, The",71.9,39.09
Wishmaster,247.3,70.32
Música Campesina (Country Music),66.9,219.25
Hester Street,87.5,109.37
Boy,218.8,301.47
"Demon in My View, A (Der Mann nebenan)",214.0,188.47
Nobody Walks,212.8,338.35
Hard Core Logo,90.1,323.42
Human Resources (Ressources humaines),156.4,206.99
Texas Killing Fields,174.6,123.73
"Ungentlemanly Act, An",157.9,200.08
Two Thousand Maniacs!,172.3,66.5
Manuel on the Island of Wonders (Manoel dans l'île des merveilles),219.7,255.14
Gone in 60 Seconds,10.6,331.46
Wall Street,84.5,244.07
Skyjacked,223.1,241.72
Sherman's March,191.7,284.37
Raising Helen,49.0,393.63
And Nobody Weeps for Me (Und keiner weint mir nach),121.5,103.86
Extreme Measures,93.3,372.57
Killjoy Goes to Hell,52.6,10.32
For the Moment,47.4,134.93
Boys Life 2,54.4,184.0
Tintin and I,239.6,319.12
"Cry, The (Grido, Il)",115.1,270.85
Bordertown,132.2,360.15
Tender Is the Night,97.6,323.91
"Big Time Operators (Smallest Show on Earth, The)",82.6,122.98
Hana (Hana yori mo naho),148.4,10.56
"Little Foxes, The",236.1,337.58
"Adjuster, The",164.6,362.55
"Thin Man, The",117.2,61.04
Playing 'In the Company of Men' (En jouant 'Dans la compagnie des hommes'),173.7,380.11
Dot and the Whale,144.4,358.93
The Spectacular Now,226.2,296.29
El Dorado,183.7,375.37
"Last House on the Left, The",200.5,251.38
Kill Me Please,139.7,19.97
"Commitments, The",226.9,373.36
"Blood Relatives (Liens de sang, Les)",231.0,186.24
"Story of Xinghua, The (Xinghua san yue tian)",241.3,389.74
Bottle Shock,76.5,106.57
Farewell My Concubine (Ba wang bie ji),22.6,353.36
"Young Victoria, The",91.6,376.24
Old Boy,158.3,114.81
Alice,236.5,79.99
Rosso,13.5,225.83
All Is Forgiven (Tout est pardonné),248.2,256.73
Combat Shock,91.7,57.73
"Blood Relatives (Liens de sang, Les)",192.9,232.27
Surviving Christmas,63.6,212.95
Lover Come Back,206.5,160.9
Seven Ways from Sundown,71.3,107.95
Don McKay,225.0,175.19
Fabled,167.0,190.83
"Class, The (Klass)",18.8,63.19
Seducing Mr. Perfect,147.8,268.88
Pulgasari,64.4,116.62
Seabiscuit,220.4,379.08
Brown of Harvard,170.4,191.23
Four Nights of a Dreamer (Quatre nuits d'un rêveur),56.9,340.77
Home for Christmas (Hjem til jul),25.0,159.51
"Midnight (Primeiro Dia, O)",162.3,296.25
I Travel Alone,51.2,114.35
Journey of Hope (Reise der Hoffnung),215.0,103.74
Stereo,196.6,155.47
"Playboys, The",125.8,166.24
Hick,243.8,395.11
Rocky V,137.4,125.14
"Cutting Edge, The",93.2,316.97
"Hypnotist, The (Hypnotisören)",64.9,122.68
"Bashu, the Little Stranger (Bashu, gharibeye koochak)",25.1,185.6
Bend It Like Beckham,197.0,67.4
National Gallery,158.3,51.62
Blondes at Work,43.1,361.62
Away with Words (San tiao ren),80.5,55.83
Animal,70.4,299.92
"Preacher, The (De dominee)",144.5,323.15
Casino Royale,133.0,286.74
Urban Legend,131.5,189.81
Pépé le Moko,171.9,126.91
Of Mice and Men,213.2,150.63
Submarino,57.5,63.83
Who Do I Gotta Kill?,73.1,395.23
Loaf and Camouflage,180.0,242.38
Talladega Nights: The Ballad of Ricky Bobby,55.6,216.74
Sex and Death 101,220.4,25.84
Murder on the Orient Express,57.7,230.47
Kind Lady,148.2,240.96
Adam's Rib,188.8,223.12
Room 237,180.9,90.14
Brightness (Yeelen),169.9,261.04
Police,131.1,280.55
"Glass Menagerie, The",113.4,163.42
Happy Endings,113.9,224.83
Racing with the Moon,65.3,187.49
Too Many Cooks,228.2,299.0
Bitter Sweet,206.3,333.11
Ong-Bak: The Thai Warrior (Ong Bak),204.2,235.88
Bring It On Again,143.5,204.54
"Man with the Golden Arm, The",36.3,239.64
"Cutting Edge: Going for the Gold, The",43.4,53.71
The Green,55.1,273.41
Innocence,201.3,199.93
"Europeans, The",98.1,21.07
Brightness (Yeelen),112.9,133.7
Convoy,134.3,264.99
Hamlet,138.7,227.04
Fast Food,120.6,32.91
The Violent Professionals,78.9,134.29
12 O'Clock Boys,20.1,108.01
U2 3D,21.3,169.22
Queen Sized,230.9,145.32
Harry Potter and the Half-Blood Prince,246.9,291.38
Bear with Me,181.2,184.76
Boogeyman,157.0,144.4
"French Minister, The (Quai d'Orsay)",17.5,295.43
Mac,231.4,362.08
Foreign Letters,238.4,286.26
Berberian Sound Studio,74.8,322.21
Mega Shark vs. Crocosaurus,94.7,63.1
Gone Nutty,240.8,233.69
Beyond the Gates of Splendor,91.1,274.1
Most Wanted,88.7,31.72
Henri-Georges Clouzot's Inferno (L'enfer d'Henri-Georges Clouzot),109.6,146.64
Inserts,233.1,253.19
Red Dragon,100.4,316.5
Latitudes,34.4,98.2
Thunder Rock,89.0,174.15
Undercover Man,235.3,251.13
"Flesh Merchant, The (Wild and Wicked, The)",27.0,376.03
Silja - nuorena nukkunut,19.5,322.19
Unknown,112.1,95.24
"Wilby Conspiracy, The",29.3,178.08
Hans Christian Andersen,176.3,235.92
As You Like It,66.8,278.6
Vital,98.1,325.61
Stuck,35.8,249.88
The Runner from Ravenshead,30.6,382.97
The Miracle of Our Lady of Fatima,145.8,202.41
Stacy,218.9,171.03
Empire Falls,153.3,102.1
Middle of Nowhere,175.6,363.45
You Only Live Once,50.1,383.6
Dragon Ball Z: The History of Trunks (Doragon bôru Z: Zetsubô e no hankô!! Nokosareta chô senshi - Gohan to Torankusu),63.3,106.7
Real Men,105.9,298.23
Affinity,11.2,388.85
Ginger Snaps Back: The Beginning,220.0,327.69
Nothing to Lose,141.7,283.0
Act of Aggression,224.1,284.16
Ringu 0: Bâsudei,226.8,332.51
"Million Ways to Die in the West, A",45.6,325.57
"Five Heartbeats, The",128.6,210.56
Adam,159.5,280.95
Tora-san's Rise and Fall (Otoko wa tsurai yo: Torajiro aiaigasa),163.5,358.56
"Village Barbershop, The",11.7,296.48
Into the Deep,157.7,37.78
UHF,32.2,130.81
"Juror, The",115.6,319.2
Lianna,63.8,181.64
23 Paces to Baker Street,152.6,336.95
Zeitgeist: Addendum,181.5,230.93
Urban Justice,95.9,114.09
Echoes of the Rainbow (Sui yuet san tau),125.4,296.47
"Ballad of Jack and Rose, The",92.6,32.16
X2: X-Men United,14.5,58.15
American Drug War: The Last White Hope,191.4,157.35
52 Pick-Up,192.8,275.56
King of the Jungle,109.2,140.83
Batman: Mask of the Phantasm,207.6,230.25
Pusher,225.9,326.83
Train of Shadows (Tren de sombras),202.3,120.63
"Architecture of Doom, The (Undergångens arkitektur)",70.4,266.76
Fracture,145.3,225.78
Our Little Girl,173.6,298.74
Shaka Zulu: The Citadel,23.8,278.35
Big Girls Don't Cry... They Get Even (Stepkids),105.9,100.51
Neighbours,151.2,27.52
Breathing Fire,161.5,279.45
G.I. Joe: The Revenge of Cobra,165.2,148.15
Girl Crazy,216.1,145.2
The Monkey King,159.1,277.22
ABC Africa,241.3,44.32
Blessed Event,109.5,185.09
Le créateur ,11.0,297.28
Jiro Dreams of Sushi,125.3,186.62
XX/XY,231.5,143.61
Destiny Turns on the Radio,133.4,312.1
"Look, Up in the Sky! The Amazing Story of Superman",198.7,124.31
Echelon Conspiracy,32.2,172.23
Four Heads Are Better Than One (Un homme de tête),207.3,112.9
Losers' Club (Kaybedenler kulübü),204.6,108.24
7 Days in Havana,78.1,12.03
Critters 3,127.8,283.64
Elizabeth: The Golden Age,42.9,335.56
"I Love You, Don't Touch Me!",63.5,394.67
Stray Cat Rock: Sex Hunter (Nora-neko rokku: Sekkusu hanta),132.8,371.07
Apt Pupil,154.3,72.78
"Unfinished Piece for a Player Piano, An (Neokonchennaya pyesa dlya mekhanicheskogo pianino)",171.0,235.41
Gaslight,187.2,62.77
Bells of Innocence,91.0,351.67
Anchorman 2: The Legend Continues,176.7,170.33
Car Bonus (Autobonus),249.7,122.29
"Century of Cinema, A",47.1,93.36
Under Siege 2: Dark Territory,49.0,203.21
Shackleton's Antarctic Adventure,206.5,137.09
The Magical Legend of the Leprechauns,187.5,34.36
Wristcutters: A Love Story,139.1,254.97
"Black Cat, White Cat (Crna macka, beli macor)",224.7,192.89
Possible Loves (Amores Possíveis),101.2,15.4
Cursed,214.8,358.9
To Tulsa and Back: On Tour with J.J. Cale,143.7,359.94
"Last Dragon, The",75.2,45.32
Jesus liebt mich,14.2,139.62
"You, the Living (Du levande)",190.4,250.09
Event Horizon,145.3,58.13
Wer,67.5,231.81
Burn Up!,26.4,122.42
Lucy,85.5,212.11
Snow White,144.2,21.79
Film About a Woman Who...,128.4,304.4
Cattle Queen of Montana,22.5,130.69
Leadbelly,115.0,115.52
Oxygen,73.0,300.41
Mr. Untouchable,204.1,221.87
Music and Lyrics,55.9,327.36
Splash,156.2,322.0
I Thank a Fool,240.5,254.79
Billy Liar,45.0,390.81
Richard Pryor Live on the Sunset Strip,237.0,276.52
"Fan, The",22.1,257.36
Léon: The Professional (a.k.a. The Professional) (Léon),58.5,99.31
"Greatest Show on Earth, The",144.6,208.9
Irma la Douce,168.8,144.19
The Raid 2: Berandal,74.9,218.07
No Man of Her Own,165.9,32.83
And While We Were Here,98.2,167.7
The Girl from the Marsh Croft,67.2,62.16
Pineapple Express,56.1,183.96
American Teen,46.9,380.57
Internal Affairs,169.5,109.27
